#
# station, type, normal-vector(3x float)
#
rs407, lba , 0.598753, 0.072099, 0.797682
rs407, hba , 0.598753, 0.072099, 0.797682
uk608, lba , 0.626845, -0.014960, 0.779000
uk608, hba , 0.627506, -0.014332, 0.778480
cs028, lba , 0.598753, 0.072099, 0.797682
cs028, hba0, 0.598753, 0.072099, 0.797682
cs028, hba1, 0.598753, 0.072099, 0.797682
cs032, lba , 0.598753, 0.072099, 0.797682
cs032, hba0, 0.598753, 0.072099, 0.797682
cs032, hba1, 0.598753, 0.072099, 0.797682
rs406, lba , 0.591206, 0.077240, 0.802814
rs406, hba , 0.591206, 0.077240, 0.802814
fr606, lba , 0.677163, 0.025597, 0.735388
fr606, hba , 0.677451, 0.025924, 0.735111
de605, lba , 0.628982, 0.049468, 0.775844
de605, hba , 0.628965, 0.049472, 0.775858
rs210, lba , 0.605061, 0.071517, 0.792961
rs210, hba , 0.605027, 0.071493, 0.792989
cs002, lba , 0.598753, 0.072099, 0.797682
cs002, hba0, 0.598753, 0.072099, 0.797682
cs002, hba1, 0.598753, 0.072099, 0.797682
cs013, lba , 0.598753, 0.072099, 0.797682
cs013, hba0, 0.598753, 0.072099, 0.797682
cs013, hba1, 0.598753, 0.072099, 0.797682
rs208, lba , 0.601735, 0.072879, 0.795364
rs208, hba , 0.598753, 0.072099, 0.797682
rs306, lba , 0.598753, 0.072099, 0.797682
rs306, hba , 0.598753, 0.072099, 0.797682
cs011, lba , 0.598753, 0.072099, 0.797682
cs011, hba0, 0.598753, 0.072099, 0.797682
cs011, hba1, 0.598753, 0.072099, 0.797682
ie613, lba , 0.596257, -0.085625, 0.798214
ie613, hba , 0.596257, -0.085625, 0.798214
cs101, lba , 0.598753, 0.072099, 0.797682
cs101, hba0, 0.598753, 0.072099, 0.797682
cs101, hba1, 0.598753, 0.072099, 0.797682
rs305, lba , 0.598460, 0.072037, 0.797907
rs305, hba , 0.598753, 0.072099, 0.797682
se607, lba , 0.530119, 0.108953, 0.840894
se607, hba , 0.529311, 0.111871, 0.841020
cs006, lba , 0.598753, 0.072099, 0.797682
cs006, hba0, 0.598753, 0.072099, 0.797682
cs006, hba1, 0.598753, 0.072099, 0.797682
cs030, lba , 0.598753, 0.072099, 0.797682
cs030, hba0, 0.598753, 0.072099, 0.797682
cs030, hba1, 0.598753, 0.072099, 0.797682
rs409, lba , 0.598753, 0.072099, 0.797682
rs409, hba , 0.598753, 0.072099, 0.797682
cs007, lba , 0.598753, 0.072099, 0.797682
cs007, hba0, 0.598753, 0.072099, 0.797682
cs007, hba1, 0.598753, 0.072099, 0.797682
de609, lba , 0.582686, 0.102609, 0.806194
de609, hba , 0.583126, 0.102326, 0.805912
rs205, lba , 0.598753, 0.072099, 0.797682
rs205, hba , 0.598753, 0.072099, 0.797682
cs024, lba , 0.598753, 0.072099, 0.797682
cs024, hba0, 0.598753, 0.072099, 0.797682
cs024, hba1, 0.598753, 0.072099, 0.797682
de604, lba , 0.601156, 0.153890, 0.784175
de604, hba , 0.601146, 0.153897, 0.784181
cs004, lba , 0.598753, 0.072099, 0.797682
cs004, hba0, 0.598753, 0.072099, 0.797682
cs004, hba1, 0.598753, 0.072099, 0.797682
cs026, lba , 0.598753, 0.072099, 0.797682
cs026, hba0, 0.598753, 0.072099, 0.797682
cs026, hba1, 0.598753, 0.072099, 0.797682
cs103, lba , 0.598753, 0.072099, 0.797682
cs103, hba0, 0.598753, 0.072099, 0.797682
cs103, hba1, 0.598753, 0.072099, 0.797682
pl610, lba , 0.584455, 0.179760, 0.791264
pl610, hba , 0.584455, 0.179760, 0.791264
cs001, lba , 0.598753, 0.072099, 0.797682
cs001, hba0, 0.598753, 0.072099, 0.797682
cs001, hba1, 0.598753, 0.072099, 0.797682
FI609, lba , 0.333971, 0.126638, 0.934037
FI609, hba , 0.334119, 0.126625, 0.933987
cs401, lba , 0.598753, 0.072099, 0.797682
cs401, hba0, 0.598753, 0.072099, 0.797682
cs401, hba1, 0.598753, 0.072099, 0.797682
cs501, lba , 0.598753, 0.072099, 0.797682
cs501, hba0, 0.598753, 0.072099, 0.797682
cs501, hba1, 0.598753, 0.072099, 0.797682
rs503, lba , 0.598753, 0.072099, 0.797682
rs503, hba , 0.598753, 0.072099, 0.797682
cs301, lba , 0.598753, 0.072099, 0.797682
cs301, hba0, 0.598753, 0.072099, 0.797682
cs301, hba1, 0.598753, 0.072099, 0.797682
cs021, lba , 0.598753, 0.072099, 0.797682
cs021, hba0, 0.598753, 0.072099, 0.797682
cs021, hba1, 0.598753, 0.072099, 0.797682
cs003, lba , 0.598753, 0.072099, 0.797682
cs003, hba0, 0.598753, 0.072099, 0.797682
cs003, hba1, 0.598753, 0.072099, 0.797682
rs106, lba , 0.598753, 0.072099, 0.797682
rs106, hba , 0.598753, 0.072099, 0.797682
rs307, lba , 0.598753, 0.072099, 0.797682
rs307, hba , 0.598753, 0.072099, 0.797682
de602, lba , 0.662887, 0.109694, 0.740641
de602, hba , 0.649782, 0.129703, 0.748973
de601, lba , 0.632827, 0.078099, 0.770344
de601, hba , 0.631584, 0.076814, 0.771493
rs310, lba , 0.601869, 0.064948, 0.795949
rs310, hba , 0.601934, 0.064739, 0.795917
rs509, lba , 0.598753, 0.072099, 0.797682
rs509, hba , 0.598753, 0.072099, 0.797682
cs031, lba , 0.598753, 0.072099, 0.797682
cs031, hba0, 0.598753, 0.072099, 0.797682
cs031, hba1, 0.598753, 0.072099, 0.797682
pl612, lba , 0.567718, 0.216143, 0.794341
pl612, hba , 0.556866, 0.265184, 0.787133
cs302, lba , 0.598753, 0.072099, 0.797682
cs302, hba0, 0.598753, 0.072099, 0.797682
cs302, hba1, 0.598753, 0.072099, 0.797682
cs005, lba , 0.598753, 0.072099, 0.797682
cs005, hba0, 0.598753, 0.072099, 0.797682
cs005, hba1, 0.598753, 0.072099, 0.797682
cs017, lba , 0.598753, 0.072099, 0.797682
cs017, hba0, 0.598753, 0.072099, 0.797682
cs017, hba1, 0.598753, 0.072099, 0.797682
de603, lba , 0.601391, 0.095614, 0.793213
de603, hba , 0.601456, 0.095645, 0.793160
pl611, lba , 0.643193, 0.307002, 0.701465
pl611, hba , 0.590360, 0.217723, 0.777220
cs201, lba , 0.598753, 0.072099, 0.797682
cs201, hba0, 0.598753, 0.072099, 0.797682
cs201, hba1, 0.598753, 0.072099, 0.797682
rs508, lba , 0.593792, 0.070643, 0.801512
rs508, hba , 0.593792, 0.070643, 0.801512
